quotation	type	source	translation	notes
Iniquissimam pacem justissimo bello antefero.		cicero	I prefer the most unjust peace to the most just war.	
In judicando criminosa est celeritas.		publilius syrus	In giving judgment haste is criminal.	
Iniquum est aliquem rei sui esse judicem.		edward coke	It is unfair that any one should be judge in his own cause.	
In vitium ducit culpae fuga.		horatius	In flying from one vice, we are led into another.	
Initia magistratuum nostrorum meliora et firma finis inclinat.		tacitus	The commencement of our official duties is characterized by greater vigour and alacrity, but towards the end they flag.	Too often the case in new undertakings.
In vitium libertas excidit, et vim Dignam lege regi.		horatius	Freedom degenerated into excess and violence that required to be regulated by law.	
Injuria injuriam cohibere licet.			We may escape an injury by the infliction of another.	According to the law of nations, not of Christianity.
In limine.			At the threshold.	Preliminary.
Injuriae spretae exolescunt, si irascaris agnitae videntur.	proverb		Injuries unnoticed lose their effect; if you are angry, they are seen to be acknowledged.	You thereby afford a triumph to him who gave the affront.
Injuriam qui facturus est jam facit.		seneca	He who is about to commit an injury, has committed it already.	"Whoso hateth his brother, is a murderer: and ye know that no murderer hath eternal life abiding in him."" 1 John iii. 15. See also Matt. v. 28."
Injuriarum remedium est oblivio.	proverb		Oblivion is the best remedy for injuries.	
In vultu signa dolentis erant.		ovidius	On her features there were signs of grief.	
Injusta ab justis impetrari non decet; Justa autem ab injustis, petere, insipientia est.		plautus	From the reasonable to ask what is unreasonable is not right; from the unreasonable to ask what is reasonable is sheer folly.	
Inanem inter magnates versandi gloriam pertinacissime sectari.			Inveterately to hanker after the glory of associating with the great.	
Innatat unda freto dulcis, leviorque marina est, Quae proprium mixto de sale pondus habet.		ovidius	Fresh water swims on the surface of the deep, and is lighter than that of the sea, which derives its peculiar weight from the admixture of salt.	
Inanis torrens verborum.		quintilianus	An empty torrent of words.	
Inter sylvas Academi quaerere verum.		horatius	Amid the woods of Academus to seek for truth.	A spot near Athens where Plato lectured, and the philosophers met for discussion.
Incedimus per ignes Suppositos cineri doloso.		horatius	We are walking over fires that lie concealed beneath deceitful ashes.	Our prospect of success appears encouraging, but we may encounter unforeseen disasters.
Inter utrumque tene.		ovidius	Keep a mid course between the two extremes.	See In medio, &c.
Incendit omnem feminae zelus domum.	proverb		A jealous woman sets a whole house in a flame.	
Innuendo.			By making signs	"or, ""By nodding at."" A covert hint or intimation is so called."
Incenditque animum famae venientis amore.		virgilius	And fires his soul with the love of coming fame.	
Inter vivos.			Between or among the living.	
Inopem me copia fecit.		ovidius	Plenty has made me poor.	Narcissus says this, on finding that self-love has deprived him of a valuable treasure, the love of others. It may be applied to a writer, or speaker, whose expression is embarrassed by the copiousness of his thoughts.
Incerta haec si tu postules Ratione certa facere, nihilo plus agas, Quam si des operam ut cum ratione insanias.		terentius	If you expect to render these uncertain things certain by dint of reason, you will no more effect it than if you were to endeavour to be mad with reason.	
Interdictum est ne bonus cum malefico usum ullius rei consocietur.		phaedrus	It is forbidden a good man to hold any intercourse with an evil-doer.	
Inopi beneficium bis dat, qui dat celeriter.		publilius syrus	He confers a two-fold benefit on the needy man who confers it speedily.	See Bis dat, &c, and Ingratum est, &c.
Incerti sunt exitus belli.		cicero	The results of war are uncertain.	
Interdum lacrymae pondera vocis habent.		ovidius	Sometimes tears have the weight of words.	
Inops, potentem dum vult imitari, perit.		phaedrus	The needy man, while affecting to imitate the powerful, comes to ruin.	Witness the Fable of the Frog and the Ox.
Interdum stultus bene loquitur.	proverb		Sometimes a fool speaks to the purpose.	We may learn something of even a fool.
Inquinat egregios adjuncta superbia mores.		claudianus	If pride accompanies, it is a blemish to the best of manners.	
Interdum vitia prosunt hominibus, Sed tempore ipso tamen apparet veritas.		phaedrus	Vices are sometimes profitable to men, but still, in time, the truth transpires.	
Incertum est quo te loco mors expectet; itaque in omni loco illam expecta.		seneca	It is uncertain in what place death awaits you; await it therefore in every place.	Live this day as if the last.
Insani sapiens nomen ferat, aequus iniqui, Ultra quod satis est virtutem si petat ipsam.		horatius	Let the wise man bear the name of fool, the just of unjust, if he pursues even virtue herself beyond the proper bounds.	See Inerat Vitellio, &c.
Interdum vulgus rectum videt, est ubi peccat.		horatius	Sometimes the populace sees things aright; at other times it errs.	
Interea dulces pendent circum oscula nati; Casta pudicitiam servat domus.		virgilius	Meantime his sweet children hang about his lips, and his chaste abode is the dwelling of virtue.	See At jam, &c., and the corresponding lines in Gray's Elegy, Stanza vi.
Incessu patuit Dea.		virgilius	She stood revealed a goddess in her gait.	
Insanientis dum sapientiae Consultus erro.		horatius	See Parcus Deorum, &c.	
Incidit in Scyllam cupiens vitare Charybdim.		philip gualtier de lille	He falls into Scylla in endeavouring to escape Charybdis.	"Philip Gualtier de Lille, a poet of the 13th century. These were two whirlpools on the coast of Sicily, of which Scylla was the most dangerous. They caused the destruction of a part of the fleet of Ulysses. It is sometimes quoted ""Qui vult vitare, &c."" See Quo tendis, &c."
Insanire parat certa ratione modoque.		horatius	He is preparing to show his madness with a certain degree of reason and method.	"There is ""method in his madness."""
Interea gustus elementa per omnia quaerunt, Nunquam animo pretiis obstantibus; interius si Attendas, magis illa juvant, quae pluris emuntur.		iunius iuvenalis	Meantime they search for delicacies throughout all the elements, with minds regardless of expense; watch them narrowly, and you will see that those things please most which cost the highest price.	
Incipere multo est, quam impetrare, facilius.		plautus	It is much more easy to begin a thing than to complete it.	
Insanire putas solennia me, neque rides.		horatius	You think me mad like everyone else, and you do not laugh.	
Intererit multum Davusne loquatur an heros.		horatius	It is of considerable consequence whether (the servant) Davus is speaking, or a hero.	The poet here warns dramatic writers to make their characters speak in language appropriate to their station in life.
Incitamentum amoris musica.			Music is an incitement to love.	
Interest reipublicae ut quisque re sua bene utatur.			It is of importance to the state that every one should make a good use of his property.	
Inclusio unius est exclusio alterius.	law maxim		The inclusion of the one implies the exclusion of the other.	
Interpone tuis interdum gaudia curis.			Season your cares with joys sometimes.	
Incoctum generoso pectus honesto.		persius	A breast imbued with generous honour.	
Intolerabilius nihil est quam foemina dives.		iunius iuvenalis	Nothing is more unbearable than a woman with a full purse.	
Insanus medio flumine quaeris aquam.			You madly search for water, in the middle of a stream.	Said of one who searches for what is wrong where there is nothing good to be found.
Incudi reddere.		horatius	To return to the anvil.	To reconsider a work, or return our performances to the anvil, to repair or repolish them.
Intonuere poli et crebris micat ignibus aether.		virgilius	The heavens thunder and the sky flashes with vivid lightnings.	
Insanus omnis furere credit caeteros.		publilius syrus	Every madman believes that all others are mad.	
Incultis asperisque regionibus diutius nives haerent, ast domita tellure dilabuntur; similiter in pectoribus ira considit; feras quidem mentes obsidet, eruditas praelabitur.		petronius arbiter	In rugged and uncultivated regions the snow lies longer upon the ground, but on cultivated soil it soon disappears; in a similar manner anger affects our breasts; in those which are uncultivated it remains, but in those which are cultivated it quickly subsides.	
Insequitur cumulo praeruptus aquae mons.		virgilius	A steep mountain of waters follows with its towering height.	
Intra Fortunam debet quisque manere suam.		ovidius	Every one is bound to live within his means.	See Crede mihi, &c.
Intus et in cute novi.		persius	I know thee inside and out.	See Ad populum, &c.
Insipientis est dicere, Non putarem.		cicero	It is the part of a fool to say, 'I should not have thought so.'	
Insita hominibus natura violentiae resistere.		tacitus	It is by nature implanted in man to resist oppression.	
Incurvat genu senectus.	proverb		Old age bends the knee.	
Insperata accidunt magis saepe quam quae speres.		plautus	Things not hoped for happen more frequently than things which you do hope for.	
Inspicere, tanquam in speculum, in vitas omnium Jubeo, atque ex aliis sumere exemplum sibi.		terentius	I advise you to look into the lives of men, as though into a mirror, and from others to take an example for yourself.	
Intus et in jecore aegro Nascuntur domini.		persius	In our own breasts, and from a morbid liver, our masters spring up.	Our passions, if they are not our servants, will become our masters.
Inde datae leges ne fortior omnia posset.	law maxim		Laws were given that the strongest might not have it all his own way.	
Intuta quae indecora.		tacitus	Those things which are unbecoming are unsafe.	
Inde irae.			Hence this resentment.	
Invendibili merci oportet ultro emptorem abducere, Proba merx facile emptorem reperit, tametsi in abstruso sit.		plautus	To unsaleable wares it is necessary to try to entice the buyer; good wares easily meet with a purchaser, although they may be hid in a corner.	
Integer vitae scelerisque purus Non eget Mauri jaculis neque arcu.		horatius	The man whose life is unblemished, and unstained by crime, needs not the javelins nor bow of the Moor.	Such a man may be wounded in body, but will remain unscathed in soul.
Index expurgatorius.			"An ""Index expurgatory"""	"or ""purifying index."" A list of books denounced by the pope as improper to be read by members of the Romish Church. Since it was originally compiled this Index has been frequently modified according to circumstances."
Inveni portum, Spes et Fortuna valete; Sat me lusistis, ludite nunc alios.			I've reach'd the harbour, Hope and Chance, adieu! You've play'd with me, now play with others too.	Lines at the end of Le Sage's Gil Bias. Translated from the Anthologia Graeca. See Jam portum, &c. Burton ascribes this version, with some variations, to Prudentius.
Integra mens augustissima possessio.	proverb		A mind unblemished is the noblest possession.	
Indicium sit.			Let it be unsaid.	Said by way of apology.
Invenies vestri praeconia nominis illic; Invenies animi pignora multa mei.		ovidius	There wilt thou find the commendations of thy name; there wilt thou find full many a pledge of my esteem.	
Indigna digna habenda sunt quae haeres facit.		plautus	Unworthy acts must be looked upon as worthy if done by your master.	See Ita servum, &c.
Inventas aut qui vitam excoluere per artes, Quique sui memores alios fecere merendo.		virgilius	Men who have improved life by their discoveries in art, and who have insured remembrance by their good deserts.	
Intentio inservire debet legibus, non leges intentioni.		edward coke	The intention ought to obey the laws, not the laws the intention.	The laws ought not to be wrested from their original meaning, to suit the purposes of any one.
Indigne vivit per quem non vivit alter.			He by whom no one else lives, does not deserve to live.	
Invidia Siculi non invenere tyranni Tormentum majus.		iunius iuvenalis	Sicilian tyrants invented nothing that is a greater torment than envy.	He alludes to the brazen bull of Perillus, made for the Sicilian tyrant Phalaris, in which his victims were roasted to death. This, as well as the cave of Dionysius of Syracuse, were productive of slight tortures compared with those produced by envy.
Inter alia.			Among other things.	
Invidiam ferre aut fortis aut felix potest.		publilius syrus	The brave or the fortunate are able to endure envy.	
Inter amicos omnium rerum communitas.		cicero	Among friends all property is common.	
Invidiam placare paras, virtute relicta?		horatius	Do you think of appeasing envy by forsaking virtue?	
Inter arma leges silent.		cicero	In the midst of arms the laws are silent.	Martial law then takes the place of civic sway.
Invidus alterius macrescit rebus opimis.		horatius	The envious man grows lean on seeing the prosperity of another.	A description of the cankering effects of envy.
Inter cuncta leges, et percontabere doctos, Qua ratione queas traducere leniter aevum.		horatius	Under every circumstance you must read and consult the learned how you may be enabled to pass your life in quiet.	
Invidus, iracundus, iners, vinosus, amator, Nemo adeo ferus est, ut non mitescere possit, Si modo culturae patientem commodet aurem.		horatius	The envious, the choleric, the indolent, the slave to wine, to women — none is so savage that he cannot be tamed, if he will only lend a patient ear to discipline.	
Inter delicias semper aliquid saevi nos strangulat.	proverb		Amid our enjoyments there is always some vexation to torment us.	See Medio de fonte, &c.
Invisa nunquam imperia retinentur diu.		seneca	A sway that has incurred hatred is never held long.	
Invisa potentia, atque miseranda vita eorum, qui se metui quam amari malunt.		cornelius nepos	The power is detested, and the existence wretched, of those who would rather be feared than loved.	
Inter finitimos vetus atque antiqua simultas, Immortale odium et nunquam sanabile vulnus Ardet adhuc – Inde furor vulgo, quod numina vicinorum Odit uterque locus, cum solos credit habendos Esse deos, quos ipse colit.		iunius iuvenalis	An ancient and inveterate enmity between neighbours, an everlasting hatred, and an ever-rankling wound, still galls them both. Hence has sprung universal rancour, because each community hates the worship of its neighbour, as it believes that those gods only which itself holds sacred ought to be esteemed as such.	
Inviso semel principe seu bene, seu male, gesta premunt.		tacitus	A ruler ouce detested, his deeds, whether good or bad, lead to his downfall.	"Somewhat similar to our proverb — ""Give a dog a bad name and hang him."""
Invita Minerva.		cicero, horatius	Minerva being unwilling.	"Minerva being the goddess of wisdom, it was supposed that she was the bestower of that invaluable attribute. If a work appeared to be destitute of wisdom, or genius, it was said to have been composed invita Minerva, ""against the will of Minerva."""
Invitat culpam qui peccatum praeterit.		publilius syrus	He who passes a crime unpunished, encourages sin.	
Invitum qui servat idem facit occidenti.		horatius	He who saves a man's life against his will does just the same as if he murdered him.	His benevolence is as little estimated as if he were his most bitter enemy.
Involvere diem nimbi et nox humida coelum Abstulit.		virgilius	Clouds enwrapped the day, and humid night withdrew the heavens from our view.	
Ipsa haeret scopulis, et quantum vertice ad auras Aetherias, tantum radice in Tartara tendit.		virgilius	[The tree] itself cleaves fast to the rocks, and as high as it shoots upwards into the aethereal regions, so deep does it descend with its roots to Tartarus below.	
Ipsae rursum concedite sylvae.		virgilius	And you, ye woods, once more farewell!	
Ipse dies agitat festos; fususque per herbam, Ignis ubi in medio, et socii cratera coronant, Te libans, Lenaee, vocat.		virgilius	The swain himself keeps holiday; and stretched on the grass, where there is a fire in the middle, and where his companions crown the bowl, he invokes thee, Lenaeus, as he makes the libation.	
Ipse dixit.			He himself said it.	He said it on his ipse dixit. A mere saying or assertion without proof.
Ipse Jupiter, neque pluens omnibus placet, neque abstinens.	proverb		Not even Jupiter himself can please all, whether he sends rain or whether he leaves off.	
Ipse pavet; nee qua commissas flectat habenas, Nec scit qua sit iter; nec si sciat imperet illis.		ovidius	He becomes alarmed, nor knows which way to turn the reins intrusted to him, nor does he know the way; nor if he did know, could he control the steeds.	Persons who undertake what they cannot accomplish are in the predicament of Phaeton, when he attempted to guide the horses of the Sun.
Ipse semet canit.	proverb		He sings about himself.	"In our phrase, ""He is his own trumpeter."""
Ipsi laetitia voces ad sidera jactant Intonsi montes; ipsae jam carmina rupes, Ipsa sonant arbusta.		virgilius	The unshorn mountains themselves send forth their voices to the stars; even the rocks utter their song, the very shrubs resound.	
Ipsisstma verba.			The very identical words.	
Ipso facto.			In fact itself.	"Absolutely,"" or ""actually."""
Ipso jure.			By the law itself.	
Ira furor brevis est.		horatius	Anger is a short madness.	
Ira quae tegitur nocet; Professa perdunt odia vindictae locum.		seneca	Resentment which is concealed is baneful; hatred avowed loses the opportunity of revenge.	The object of the resentment is put upon his guard.
Iracundiam qui vincit, hostem superat maximum.		publilius syrus	He who overcomes his anger, subdues his greatest enemy.	
Irarum tantos volvis sub pectore fluctus?		virgilius	Do you harbour such torrents of anger in your breast?	
Iras et verba locant.		marcus valerius martialis	They let out for hire their anger and their words.	A satirical view of the duties of a pleader.
Iratus cum ad se redit, sibi tum irascitur.		publilius syrus	An angry man, when he returns to himself, is angry with himself.	He is overwhelmed with self-reproach.
Ire tamen restat, Numa quo devenit et Ancus.		horatius	It still remains for you to go where Ancus and Numa have gone before.	
Irrepit in hominum mentes dissimulatio.		cicero	Dissimulation creeps apace into the minds of men.	
Irrigat ros herbam virentem, et calor solaris tepefacit.			The dew waters the growing grass, and the sun's heat warms it.	
Irritabis crabrones.		plautus	You will irritate the hornets.	Or, as we say, You will bring a hornet's nest about your ears.
Is cadet ante senem qui sapit ante diem.	proverb		He dies before he is old, who is wise before his day.	See Cito maturum. &c.
Inter indoctos etiam corydus sonat.	proverb		To the unskilled the voice of the sparrow is music.	A dunce even may impose on the illiterate. The corydus was a lark with an inferior note, found in the neighbourhood of Athens.
Ita servum par videtur frugi se instituere; Proinde heri ut sint, ipse item sit, vultum e vultu comparet;		plautus	Thus does it seem becoming for a trusty servant to conduct himself; just as his superiors are should he be too; by their countenance he should fashion his own countenance; if his superiors are grave, let him be grave; if they rejoice, let him be merry.	See Indigna digna, &c.
Is est honos homini pudico, meminisse officium suum.		plautus	To be mindful of his duty is true honour to an upright man.	
Inter malleum et incudem.	proverb		Between the hammer and the anvil.	Said of a person between the horns of a dilemma.
Is habitus animorum fuit, ut pessimum facinus auderent pauci, plures vellent, omnes paterentur.		tacitus	Such was the state of feeling, that a few dared to perpetrate the worst of crimes, more wished to do so, all suffered it.	
Ita vertere seria ludo.		horatius	Thus to turn serious matters into jest.	
Inter nos.			Between ourselves.	Not to let it go any further.
Is maxime divitiis utitur, qui minime divitiis indiget.		seneca	He uses riches to the best purpose, who stands the least in need of riches.	
Is mihi demum vivere et frui anima videtur, qui aliquo negotie intentus, praeclari facinoris aut artis bonae famam quaerit.		sallustius	That man in fine appears to me to live and to enjoy life, who, being engaged in any business, seeks the reputation attendant upon some illustrious deed, or upon the discovery of some useful art.	
Ita vita est hominum, quasi, cum ludas tesseris; Si illud quod maxime opus est jactu non cadit, lllud quod cecidit forte id arte ut corrigas.		terentius	The life of man is just like playing with dice; if that which you most want to throw does not turn up, that which turns up by chance you must correct by skill.	
Inter pueros senex.	proverb		An old man among boys.	Said of a person who by his gravity of manners affects to be wiser than he really is.
Ita voluerunt, ita factum est.			So they willed it, and so it has been done.	
Is mihi videtur amplissimus qui sua virtute in altiorem locum pervenit.		cicero	He is, in my opinion, the greatest man, who has by his own virtues raised himself to a higher station.	
Inter quadrupedes gloria prima lepus.		marcus valerius martialis	Of quadrupeds the chief glory is the hare.	"The Roman gourmands seemed to esteem this animal higher than we do; for we find Horace saying, Faecundi leporis sapiens sectabitur armos. — ""A man of taste will look out for the shoulders of a pregnant hare."""
Iter factum corruptius imbre.		horatius	The way being rendered more disagreeable by the rain.	
Is minimo eget mortalis, qui minimum cupit.		publilius syrus	He of all mortals is the least in want, who desires the least.	
Inter spem curamque, timores inter et iras, Omnem crede diem tibi diluxisse supremum: Grata superveniet quae non sperabitur hora.		horatius	In the midst of hope and care, in the midst of fears and disquietudes, think every day that dawns upon you to be your last; the hour which shall not be expected will come upon you as a grateful boon.	
Iter pigrorum quasi sepes spinarum.	From Proverbs xv. 19.		The way of the slothful is as a hedge of thorns.	
Is ordo vitio careto, caeteris specimen esto.			Let this order be free from vice, and an ensample to the others.	This injunction was contained in the Twelve Tables at Rome, and was addressed to the Senatorial or Patrician order. The highest in rank should be most careful to set a good example.
Inter strepit anser olores.		virgilius	A goose he gabbles among the swans.	
Iterum ille eam rem judicatam judicat Majoreque mulcta mulctat.		plautus	He is trying a matter again that has been tried already, and is mulcting us again with a still heavier fine.	
Ixion quod versari narratur rota Volubilem fortunam jactari docet.		phaedrus	The story of Ixion whirling round upon the wheel, teaches us how changeful a thing is fortune.	
Jacet ecce Tibullus, Vix manet e toto parva quod urna capit.		ovidius	See, here Tibullus lies; of one so great there hardly remains enough to fill a little urn.	
Is sapiens qui se ad casus accommodet omnes; Stultus in adversis ire natator aquis.			He is the wise man who can accommodate himself to all contingencies; the fool struggles, like a swimmer, to go against the stream.	This is not the motto of the Justus et tenax propositi vir, but it is the one usually adopted by
Jacta est alea.			The die is cast.	The deed is done, and there is now no room for deliberation.
Istam Oro, (si quis adhuc precibus locus) exue mentem.		virgilius	I beseech you (if my entreaties can still have any effect) lay aside that intention.	
Jactitatio.	law term		A boasting.	Jactitation of marriage is a false boasting of a person that he, or she, is married to another, such not being the case. On a libel brought against the party guilty of jactitation, the ecclesiastical courts will impose silence on him or her.
Ista decens facies longis vitiabitur annis; Rugaque in antiqua fronte senilis erit.		ovidius	That beauteous face will be spoiled by length of years, and the wrinkle of age will be on thy antiquated brow.	
Isthuc est sapere, non quod ante pedes modo est Videre, sed etiam illa quae futura sunt Prospicere.		terentius	That is wisdom indeed, not to look at the present moment, but to look forward to what is to come.	
Jam desuetudine longa Vix subeunt ipsi verba Latina mihi.		ovidius	From long disuse scarcely do Latin modes of expression recur to me.	The complaint of Ovid, when in exile at Tomi in Pontus.
Ita comparatam esse hominum naturam omnium, Aliena ut melius videant et dijudicent, Quam sua!		terentius	That the nature of men should be so constituted, that they can see and judge of other men's affairs better than their own!	
Jam istaec insipientia est, Sic viam in promptu gerere.		plautus	Why, this is sheer folly, thus to keep your wrath always bottled up in readiness.	
Jam nunc minaci murmure cornuum Perstringis aures; jam litui strepunt.		horatius	Even now you stun our ears with the threatening murmur of horns; now the clarions sound.	
Jam pauca aratro jugera regiae Moles relinquent.		horatius	Princely palaces will soon leave but few acres to the plough.	The allusion is to the vast tracts of land enclosed by the rich for purposes of ornament, and no longer available for the public benefit.
Justum et tenacem propositi virum, Non civium ardor prava jubentium, Non vultus instantis tyranni Mente quatit solida.		horatius	Not the rage of the people pressing to hurtful measures, not the aspect of the threatening tyrant, can shake from his settled purpose the man who is just and determined in his resolution.	
Jam portum inveni, Spes et Fortuna valete! Nil mihi vobiscum est, ludite nunc alios.			I have now gained the harbour, Hope and Fortune, adieu! I have nothing to do with you, now go play with others.	A translation by Sir Thomas More of an Epigram in the Greek Anthology. See Inveni portum, &c.
Ita dis est placitum, voluptatem ut moeror comes consequatur.		plautus	It has so pleased the gods that Sorrow should attend as companion on Pleasure.	
Juvenile vitium regere non posse impetum.		seneca	It is the failing of youth, not to be able to restrain its own impetuosity.	
Ita finitima sunt falsa veris, ut in praecipitem locum non debeat se sapiens committere.		cicero	Falsehood borders so closely upon truth, that a wise man should not trust himself too near the precipice.	A rebuke against quibbling.
Jam proterva Fronte petit Lalage maritum.		horatius	Already, with unblushing face, does Lalage seek a husband.	
Ita lex scripta est.			To such effect is the law written.	The words of a man who argues tersely, and by the letter.
Jam redit et Virgo, redeunt Saturnia regna.		virgilius	Now the Virgin returns, now the Saturnian age returns.	The supposed reign of Astraea, the goddess of justice, in tne Golden Age.
Juxta fluvium puteum fodit.	proverb		He is digging a well close by a river.	Said of a person adding to a supply which is already more than sufficient.
Ita me Dii ament! ubi sim nescio.		terentius	May the gods so love me, I know not where I am.	I am bewildered, quite beside myself.
Kyrie eleeison.			Lord, have mercy upon us.	Two Latinized Greek words in common use in the responses of the Romish Church.
Jam saevus apertam In rabiem coepit verti jocus, et per honestas Ire minax impune domos.		horatius	At length the bitter raillery began to be turned into open rage, and menaces with impunity to stalk through reputable houses.	
Ita nobilissima Graeciae civitas, quondam vero etiam doctissma sui civis unius acutissimi monumentum ignorasset, nisi ab homine Arpinate didicisset.		cicero	So the most noble city of Greece, once too the most distinguished for learning, would have remained in ignorance of the monument of her most talented citizen, had it not learned from a man of Arpinum	(now Abruzzo). Cicero speaks of the city of Syracuse; he himself having found there the tomb of Archimedes, covered with weeds, and abandoned to oblivion.
LL. D.			Doctor of Laws.	"For ""Legum Doctor""."
Jam satis — ohe.		ausonius	Hold — enough!	
Jam summa procul villarum culmina fumant.		virgilius	Now the high tops of the villages afar send forth their smoke.	
L. S.				"For ""Locus sigilli"", which see."
Jamque opus exegi, quod nec Jovis ira, nec ignis, Nec poterit ferrum, nec edax abolere vetustas.		ovidius	I have now completed a work which neither the anger of Jove, nor fire, nor the sword, nor consuming time, will he able to destroy.	A prediction of the poet, which, thus far, has been verified, and deservedly so.
Labitur et labetur in omne volubilis aevum.		horatius		See Rusticus expectat, &c.
Jamque quiescebant voces hominumque canumque; Lunaque nocturnos alta regebat equos.		ovidius	And now the voices of men and the baying of dogs were lulled, and the moon or high was guiding the steeds of night.	
Ita oportuit intrare in gloriam suam.			Thus ought he to enter upon his career of glory.	
Labitur occulte, fallitque volubilis aetas.		ovidius	Age glides stealthily on, and beguiles us as it flies.	
Janua lethi Sed patet immani, et vasto respectat hiatu.		lucretius	But the gate of death yawns with its wide and vast entrance.	"""Broad is the way that leadeth to destruction."" Matt. vii. 13."
Januis clausis.			With closed doors.	"That is, ""in secrecy."""
Labor omnia vincit Improbus.		virgilius	Incessant labour conquers everything.	
Jasper fert myrrham, thus Melchior, Balthazar aurum. Haec quicum secum portet tria nomina regum, Solvitur a morbo, Domini pietate, caduco.			Jasper brings myrrh, Melchior frankincense, and Balthazar gold. Whoever carries with him the names of these three kings will be exempt, by the goodness of God, from the falling sickness.	A mediaeval charm. These were said to be the names of the kings of the Magi, who were led by the star to the cradle of our Saviour in Bethlehem. They are usually called the Three Kings of Cologne.
Laborum Dulce levamen.		horatius	The sweet soother of my cares.	The words addressed by the poet to his lyre, the solace of his leisure hours.
Jejunus raro stomachus vulgaria temnit.		horatius	A hungry stomach rarely despises plain food.	
Lachrymaeque decorae, Gratior et pulchro veniens in corpore virtus.		virgilius	His graceful tears, and a merit that still more commends itself in a beauteous person.	
Jovis omnia plena.		virgilius	All things are full of Jove.	The hand of Providence is visible everywhere.
Lactuca innatat acri Post vinum stomacho.		horatius	Lettuce after wine floats on an acrid stomach.	Words to be borne in mind by the bon vivant.
Jubeo totas aperire fenestras.		ovidius	I bid you open all the windows.	
Laetus in praesens animus, quod ultra est Oderit curare, et amara lento Temperet risu. Nihil est ab omni Parte beatum.		horatius	The mind that is cheerful at the present hour, will be indifferent ahout anything beyond it, and meet the bitters of life with a complacent smile. Nothing is blessed on every side.	
Libra justa justitiam servat.			A just balance preserves justice.	
Jubilate Deo.			O be joyful in the Lord.	The beginning of the Hundreth Psalm.
Laetus sorte tua vives sapienter.			If you are wise you will live contented with your lot.	
Liceat concedere veris.		horatius	It is only right to yield to truth..	
Jucunda et idonea dicere vitae.		horatius	To relate what is agreeable and suited to our conduct in life.	The useful as well as the amusing. See Omne tulit, &c.
Lapides loquitur, caveant lectores ne cerebrum iis excutiat.			He speaks stones; let his readers take care that he does not knock their brains out.	See Plautus, Aulul. II. i. 29.
Jucunda est memoria praeteritorum malorum.		cicero	The recollection of past evils is pleasant.	
Lapis philosophorum.			The philosopher's stone.	A supposed mineral, sought by the alchemists of the middle ages, the property of which was to transmute the base metals into gold.
Jucunda rerum vicissitudo.			A delightful change of circumstances.	
Licet superbus ambules pecunia, Fortuna non mutat genus.		horatius	Although you may strut about, proud of your money, fortune does not change birth.	Words addressed to a conceited parvenu.
Lapis qui volvitur algam non generat.	proverb		A rolling stone finds no sea-weed.	"Or as we say, ""A rolling stone gathers no moss."" The figure, in the Latin, refers to the stone on the sea-shore, upon which, as it rolls to and fro, the sea-weed does not collect."
Jucundi acti labores.		cicero	The remembrance of difficulties overcome is delightful.	
Licuit, semperque licebit Parcere personis, dicere de vitiis.			It ever has been lawful, and ever will be, to spare the person, but to censure the vice.	
Lapsus calami.			A slip of the pen.	
Jucundum et carum sterilis facit uxor amicum.		iunius iuvenalis	A barren wife makes a dear and interesting friend.	To those, namely, who are looking for her husband's money after his decease.
Lignum vitae.			The wood of life.	Boxwood, or the wood of the guaiacum officinale, is popularly so called.
Jucundum nihil est, nisi quod reficit varietas.		publilius syrus	Nothing is pleasant that is not enlivened with variety.	
Lapsus linguae.			A slip of the tongue.	
Limae labor et mora.		horatius	The labour and tediousness of the file.	The wearisome labour of correcting and giving the last polish to a work.
Judex damnatur cum nocens absolvitur.		publilius syrus	The judge is condemned when the guilty is acquitted.	That is, when the sentence is supposed to be dictated by corrupt motives, or to betray incapacity.
Lascivi soboles gregis.		horatius	The descendants of a wanton race.	
Lingua mali loquax malae mentis est indicium.		publilius syrus	An evil tongue is the proof of an evil mind.	"Because ""Out of the abundance of the heart the mouth speaketh."" Luke vi. 4, 5."
Lateat scintillula forsan.			Some small spark may lie perchance concealed.	These words (in reference to the vital spark) have been adopted as the motto of the Humane Society for the recovery of persons apparently drowned.
Judex non potest esse testis in propria causa.		edward coke	A judge cannot be a witness in his own cause.	
Lingua mali pars pessima servi.		iunius iuvenalis	The tongue is the worst part of a bad servant.	If a servant is unprincipled, the opportunities which he has for slander render his power for evil ten-fold greater.
Laterem lavas.	proverb		You are washing a brick.	"This was originally said of unburnt bricks, which the more they were scoured, the more muddy they became. ""You are making bad worse."""
Judex non solum quid possit, sed etiam quid deceat ponderare debet.		cicero	A judge ought to weigh well not only what he may do, but also what he ought to do.	
Lingua melior, sed frigida bello Dextera.		virgilius	Excelling in speech, but of a right hand slow to war.	The description given of Drances.
Lingua, sile; non est ultra narrabile quicquam.		ovidius	My tongue, be silent; not another word must be said.	
Latet anguis in herba.		virgilius	A snake lies hidden in the grass.	Individuals, like armies, suffer most from perils that lie in ambush.
Linguae centum sunt, oraque centum, Ferrea vox.		virgilius	It has a hundred tongues, a hundred mouths, a voice of iron.	The attributes of rumour.
